video_id,title,channel,category_id,published_at,views,likes,comments,duration,hour,day_of_week,month,engagement_rate
2vYyHb34upc,#Video | Case Teri Rani Ladegi | #Khesari Lal Yadav | Raushan Rohi | Ft. Neelam | Bhojpuri Song 2026,Jhankar Music Bhojpuri,10,2026-06-10 01:00:20+00:00,1138829,144609,18925,PT4M6S,1,Wednesday,June,14.36
0d4nirTymmg,"ALPHA | Official Teaser | Alia, Sharvari, Anil, Bobby | Shiv Rawail | YRF Spy Universe | 3 July 2026",YRF,1,2026-06-10 05:30:05+00:00,2799284,72149,9029,PT1M55S,5,Wednesday,June,2.9
dp_yP5zoZsI,[HINDI] BMPS 2026 | SEMI-FINALS | Day 1 #BGMILIVE,KRAFTON INDIA ESPORTS,20,2026-06-09 16:27:41+00:00,3661319,113024,329,PT6H4M45S,16,Tuesday,June,3.1
ya1tkd4Vyrw,"#Video - ब्रांड हऊ मजनुआ | #Aashish Yadav ,Khushi Kakkar |  ft. Neelam Giri | Brand Hau Majanuaa",Aaradhya Films,10,2026-06-10 01:59:31+00:00,433599,61525,10925,PT3M27S,1,Wednesday,June,16.71
KV3EYDxMrvA,SlumDog - 33 Temple Road Teaser (Telugu) | Puri Jagannadh | Vijay Sethupathi | Tabu | Samyuktha,Puri Jagannadh,1,2026-06-08 12:30:18+00:00,1827804,67323,2461,PT1M15S,12,Monday,June,3.82
pwJRJ40bzBA,How I Became the KING of this Trillionaire Villager City in Minecraft!,ProBoiz 95,20,2026-06-08 14:48:15+00:00,3319262,68578,7506,PT36M58S,14,Monday,June,2.29
QohIp3-Ygxk,SADI SUN - Elvish Yadav & Simrat Kaur Randhawa | Harsh Nussi | Anshul Garg,Play DMF,10,2026-06-10 05:30:15+00:00,529777,79644,9297,PT3M3S,5,Wednesday,June,16.79
L_v9L1eXk2Y,Raja 2026 || Trailer || Natia || Musa || Dhana || Chul bul kur kure,Utkal Cartoon Universe ,1,2026-06-10 01:30:08+00:00,235469,5788,111,PT3M30S,1,Wednesday,June,2.51
V5moyNtT2sM,Building My Old House with Doorbin in Minecraft..,Carry Depie,20,2026-06-09 11:27:49+00:00,1297479,23977,2160,PT15M58S,11,Tuesday,June,2.01
kiS9GMjwFWU,Reel (Official Video ) R Nait | Deepak Dhillon | Prabh Grewal | Mix It Up | New Punjabi Songs 2026,R Nait,10,2026-06-10 04:30:01+00:00,272789,17411,1377,PT4M48S,4,Wednesday,June,6.89
3EGuYn0_VXc,Nooru Sami - Official Trailer | Vijay Antony | Swasika|Ajay Dhishan|Lijomol Jose| Balaji Sriram|Sasi,Think Music India,10,2026-06-08 11:30:29+00:00,702687,20470,342,PT2M24S,11,Monday,June,2.96
X4vVuqxpOaw,Shinchan Age 1 to Age 100 Elephant 😱,Tyro Gaming,20,2026-06-09 14:31:45+00:00,784128,5653,316,PT11M6S,14,Tuesday,June,0.76
SsxR1CppFt8,"Tuition Badmashi Kaa - Hemant Faujdar, Kiran, Masoom Sharma, Manisha Sharma, Ajay Dhankhar, AmanJaji",Khalid Siyam,10,2026-06-08 03:15:02+00:00,797413,4492,63,PT6M7S,3,Monday,June,0.57
jAaX-F3pr2U,Alpha Teaser & Dhamaal 4 with Welcome 3 Trailer | Deeksha Sharma,Filmi Indian,24,2026-06-10 04:16:57+00:00,162529,6002,315,PT3M34S,4,Wednesday,June,3.89
zBEsH7PZ5SA,I Performed Real Exorcism of a Possessed Girl (Spiritus Sancti Horror Game),Live Insaan,20,2026-06-09 09:00:09+00:00,1159774,46505,4579,PT50M16S,9,Tuesday,June,4.4
JBOkML4Ld9g,"Vallah (Official Video) Shahid, Kriti, Rashmika | Pritam, Bayanni, Harrdy S, Amitabh B | Cocktail 2",Universal Music India,10,2026-06-09 05:41:02+00:00,2868623,23038,611,PT2M17S,5,Tuesday,June,0.82
Ungoh_WqLU0,Alpha Teaser • Reaction,thePJ,20,2026-06-10 06:35:25+00:00,99207,9019,1384,PT7M4S,6,Wednesday,June,10.49
65SHgyOwav0,GTA 5 LIVE #gta5 #gtav #gaming,Hear Is Live,20,2026-06-10 05:11:10+00:00,1537259,11048,1,PT3H19M34S,5,Wednesday,June,0.72
-wRnDlwAd5U,Hindi Gana🥀90's Evergreen Bollywood Songs💕बेवफाई गाने 💓Evergreen Romantic Songs | Durga Boss,Maghi Records,10,2026-06-09 02:15:06+00:00,207690,700,18,PT35M2S,2,Tuesday,June,0.35
