video_id,title,channel,category_id,published_at,views,likes,comments,duration
2vYyHb34upc,#Video | Case Teri Rani Ladegi | #Khesari Lal Yadav | Raushan Rohi | Ft. Neelam | Bhojpuri Song 2026,Jhankar Music Bhojpuri,10,2026-06-10T01:00:20Z,1138829,144609,18925,PT4M6S
0d4nirTymmg,"ALPHA | Official Teaser | Alia, Sharvari, Anil, Bobby | Shiv Rawail | YRF Spy Universe | 3 July 2026",YRF,1,2026-06-10T05:30:05Z,2799284,72149,9029,PT1M55S
dp_yP5zoZsI,[HINDI] BMPS 2026 | SEMI-FINALS | Day 1 #BGMILIVE,KRAFTON INDIA ESPORTS,20,2026-06-09T16:27:41Z,3661319,113024,329,PT6H4M45S
ya1tkd4Vyrw,"#Video - ब्रांड हऊ मजनुआ | #Aashish Yadav ,Khushi Kakkar |  ft. Neelam Giri | Brand Hau Majanuaa",Aaradhya Films,10,2026-06-10T01:59:31Z,433599,61525,10925,PT3M27S
KV3EYDxMrvA,SlumDog - 33 Temple Road Teaser (Telugu) | Puri Jagannadh | Vijay Sethupathi | Tabu | Samyuktha,Puri Jagannadh,1,2026-06-08T12:30:18Z,1827804,67323,2461,PT1M15S
pwJRJ40bzBA,How I Became the KING of this Trillionaire Villager City in Minecraft!,ProBoiz 95,20,2026-06-08T14:48:15Z,3319262,68578,7506,PT36M58S
QohIp3-Ygxk,SADI SUN - Elvish Yadav & Simrat Kaur Randhawa | Harsh Nussi | Anshul Garg,Play DMF,10,2026-06-10T05:30:15Z,529777,79644,9297,PT3M3S
L_v9L1eXk2Y,Raja 2026 || Trailer || Natia || Musa || Dhana || Chul bul kur kure,Utkal Cartoon Universe ,1,2026-06-10T01:30:08Z,235469,5788,111,PT3M30S
V5moyNtT2sM,Building My Old House with Doorbin in Minecraft..,Carry Depie,20,2026-06-09T11:27:49Z,1297479,23977,2160,PT15M58S
kiS9GMjwFWU,Reel (Official Video ) R Nait | Deepak Dhillon | Prabh Grewal | Mix It Up | New Punjabi Songs 2026,R Nait,10,2026-06-10T04:30:01Z,272789,17411,1377,PT4M48S
3EGuYn0_VXc,Nooru Sami - Official Trailer | Vijay Antony | Swasika|Ajay Dhishan|Lijomol Jose| Balaji Sriram|Sasi,Think Music India,10,2026-06-08T11:30:29Z,702687,20470,342,PT2M24S
X4vVuqxpOaw,Shinchan Age 1 to Age 100 Elephant 😱,Tyro Gaming,20,2026-06-09T14:31:45Z,784128,5653,316,PT11M6S
SsxR1CppFt8,"Tuition Badmashi Kaa - Hemant Faujdar, Kiran, Masoom Sharma, Manisha Sharma, Ajay Dhankhar, AmanJaji",Khalid Siyam,10,2026-06-08T03:15:02Z,797413,4492,63,PT6M7S
jAaX-F3pr2U,Alpha Teaser & Dhamaal 4 with Welcome 3 Trailer | Deeksha Sharma,Filmi Indian,24,2026-06-10T04:16:57Z,162529,6002,315,PT3M34S
zBEsH7PZ5SA,I Performed Real Exorcism of a Possessed Girl (Spiritus Sancti Horror Game),Live Insaan,20,2026-06-09T09:00:09Z,1159774,46505,4579,PT50M16S
JBOkML4Ld9g,"Vallah (Official Video) Shahid, Kriti, Rashmika | Pritam, Bayanni, Harrdy S, Amitabh B | Cocktail 2",Universal Music India,10,2026-06-09T05:41:02Z,2868623,23038,611,PT2M17S
Ungoh_WqLU0,Alpha Teaser • Reaction,thePJ,20,2026-06-10T06:35:25Z,99207,9019,1384,PT7M4S
65SHgyOwav0,GTA 5 LIVE #gta5 #gtav #gaming,Hear Is Live,20,2026-06-10T05:11:10Z,1537259,11048,1,PT3H19M34S
-wRnDlwAd5U,Hindi Gana🥀90's Evergreen Bollywood Songs💕बेवफाई गाने 💓Evergreen Romantic Songs | Durga Boss,Maghi Records,10,2026-06-09T02:15:06Z,207690,700,18,PT35M2S
Qk8cnQqlzqo,Dhurandhar ke Baad Yeh Universe Ka Kya Hoga: Alpha Teaser EXPOSED,Suraj Kumar,24,2026-06-10T08:50:01Z,53634,5018,591,PT4M4S
K59Yve6nRNU,I Found Villagers Secret USB PENDRIVE in Minecraft...,Junkeyy,20,2026-06-09T14:13:16Z,474805,11186,758,PT16M34S
mScmLY7LzMY,O Firki Wali Tu Kal Fir Aana | New Version ओ फिरकी वाली Instagram Trending Song | Dance Video,सिंगर देवी शंकर सैनी ,22,2026-06-10T00:30:05Z,61214,338,17,PT21M46S
n_pEJjq-9xQ,Enola Holmes 3 | Official Trailer | Netflix,Netflix,24,2026-06-09T12:00:01Z,1043487,42539,1199,PT2M21S
iDxYkw4g14g,GTA V : Franklin Got Traped inside Horror GRANNY HOUSE ! in Telugu,Black7Plays,20,2026-06-09T05:45:19Z,279669,9784,360,PT25M36S
pBcPpXJUJpw,Radha ki tammana  | राधा की तमन्ना हे कान्हा मुझे मिल | Radha Rani Bhajan | Pooja Brajwasi | 2026,Nainshi Bhakti Tune ,10,2026-06-03T15:54:17Z,318806,626,15,PT6M46S
6QNUFgR2HLk,"Double Occupancy - Official Trailer | Santhosh, Reshma, Samyuktha, Vinoth | Aswin Kandasamy",Saregama Tamil,1,2026-06-07T12:35:41Z,1289280,16356,514,PT2M17S
tyBbHfKFd0c,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,20,2026-06-10T03:09:42Z,933377,5202,1,PT2H40M35S
QFjteAz9Ylk,"#Video | 6 गोली मारव नथुनिया पS | #Khesari Lal Yadav, Srishti Bharti | 6 Goli Marab Nathuniya Pa",GMJ - Global Music Junction - Bhojpuri,10,2026-06-07T01:40:17Z,3089763,135543,14583,PT3M29S
